sucuk;elma;;;;;;;;;;;;;
sarimsak;hindi eti;kola-gazoz vb.;hazir meyve suyu;salam;kakule;;;;;;;;;
margarin;portakal;bezelye;kajun;elma;kuru fasulye;visne;maydanoz;kusbasi et;;;;;;
bakla;sumak;kajun;ekmek;serbet;kimyon;yulaf;muz;;;;;;;
hindi eti;kahve;corek otu;ejder meyvesi;bezelye;mandalina;bulgur;;;;;;;;
zerdecal;domates;;;;;;;;;;;;;
bulgur;serbet;pirasa;pirinc;nar;kabak;salam;peynir;aci toz biber;sogan;nohut;vanilya;kakule;sumak;bitki cayi
kuru fasulye;sucuk;nane;zerdecal;maydanoz;yulaf;lahana;cavdar;tatli toz biber;karpuz;;;;;
sogan;kiyma;bezelye;;;;;;;;;;;;
yesil mercimek;tavuk eti;margarin;nohut;;;;;;;;;;;
yumurta;patlican;bakla;maydanoz;ayran;nar;arpa;yulaf;hindi eti;domates;;;;;
visne;kimyon;aci pul biber;hayvansal sut;avokado;tarcin;mayasiz alkoller;;;;;;;;
pirinc;tatli toz biber;domates;mayali alkoller;bakla;kahve;margarin;elma;kirmizi mercimek;biberiye;kola-gazoz vb.;;;;
yulaf;kajun;bezelye;tavuk eti;kola-gazoz vb.;yogurt;kiyma;;;;;;;;
aci pul biber;portakal;arpa;kiyma;ayran;yeni bahar;bugday;tuz;avokado;maydanoz;mandalina;kirmizi mercimek;kimyon;taze meyve suyu;
kabak;sakatatlar;sucuk;seker;pirinc;peynir;balik;bulgur;yulaf;serbet;kola-gazoz vb.;;;;
vanilya;domates;kabak;bulgur;;;;;;;;;;;
balik;maydanoz;yulaf sutu;aci pul biber;hayvansal sut;seker;kivi;tavuk eti;bugday;pirasa;mandalina;sarimsak;;;
ejder meyvesi;bitki cayi;arpa;biber;kekik;patlican;domates;;;;;;;;
siyah cay;ayran;corek otu;;;;;;;;;;;;
kori;nane;ejder meyvesi;domates;yogurt;kirmizi mercimek;elma;mayali alkoller;bakla;avokado;bitki cayi;;;;
