sucuk;tuz;cilek;aci pul biber;kirmizi mercimek;nane;bogurtlen;vanilya;tarcin;;;;;;
ispanak;boza;portakal;cavdar;roka;arpa;;;;;;;;;
biberiye;sucuk;muz;sosis;bakla;ispanak;ananas;;;;;;;;
peynir;ayran;armut;aci pul biber;bogurtlen;biberiye;cavdar;;;;;;;;
hazir meyve suyu;tereyagi;soguk cay;ayran;sogan;;;;;;;;;;
bulgur;hayvansal sut;tuz;maydanoz;tarcin;kusbasi et;marul;kori;cilek;sogan;avokado;corek otu;kabak;misir;
armut;tarcin;bakla;visne;sakatatlar;;;;;;;;;;
kekik;ispanak;yulaf sutu;salam;nar;siyah cay;biber;margarin;armut;kiraz;salatalik;muz;pirinc;mango;kusbasi et
yesil mercimek;bogurtlen;bakla;kahve;aci pul biber;hindi eti;kivi;armut;tatli toz biber;bugday;aci toz biber;cavdar;yumurta;arpa;
ispanak;bogurtlen;misir;kakule;yulaf;yumurta;kahve;sucuk;kusbasi et;tatli toz biber;kekik;kajun;mayali alkoller;pirasa;
salam;domates;kori;bezelye;hindi eti;aci toz biber;marul;biber;tatli toz biber;kakule;kola-gazoz vb.;patlican;kabak;;
mandalina;yumurta;portakal;marul;pirinc;taze meyve suyu;biberiye;sogan;zerdecal;cilek;;;;;
vanilya;kakule;patlican;mandalina;marul;mayali alkoller;aci pul biber;badem sutu;balik;salam;bezelye;kajun;karpuz;;
sakatatlar;aci toz biber;yogurt;kirmizi mercimek;ayran;maydanoz;karpuz;ejder meyvesi;taze meyve suyu;portakal;nohut;;;;
mayasiz alkoller;marul;avokado;kuru fasulye;elma;armut;badem sutu;mandalina;zerdecal;arpa;biber;;;;
kivi;kori;vanilya;ispanak;kabak;salam;;;;;;;;;
cilek;hazir meyve suyu;kirmizi mercimek;sakatatlar;avokado;mayasiz alkoller;kola-gazoz vb.;ispanak;armut;;;;;;
kola-gazoz vb.;kirmizi mercimek;sarimsak;ananas;visne;cilek;tereyagi;nane;nar;portakal;;;;;
boza;pirinc;vanilya;bakla;tavuk eti;armut;yumurta;balik;;;;;;;
yulaf sutu;nar;biber;roka;;;;;;;;;;;
zerdecal;domates;;;;;;;;;;;;;
armut;cilek;domates;taze meyve suyu;balik;bakla;portakal;hindi eti;biberiye;mandalina;kiyma;vanilya;ayran;serbet;
kola-gazoz vb.;;;;;;;;;;;;;;
hazir meyve suyu;nar;;;;;;;;;;;;;
kekik;boza;bulgur;tavuk eti;yumurta;;;;;;;;;;
muz;kivi;yogurt;yulaf;ayran;arpa;;;;;;;;;
boza;kahve;elma;ananas;kuru fasulye;karpuz;taze meyve suyu;kabak;zerdecal;;;;;;
hindi eti;;;;;;;;;;;;;;
cavdar;kiyma;ekmek;kola-gazoz vb.;kabak;marul;peynir;;;;;;;;
serbet;sarimsak;;;;;;;;;;;;;
tuz;arpa;soguk cay;yesil mercimek;bugday;ekmek;sogan;sumak;mayali alkoller;tarcin;portakal;;;;
sarimsak;hindi eti;karpuz;bugday;tarcin;kakule;kuru fasulye;hayvansal sut;zerdecal;kimyon;mandalina;sumak;yesil mercimek;;
maydanoz;tereyagi;armut;kivi;cilek;bugday;mandalina;ejder meyvesi;yesil mercimek;;;;;;
elma;tereyagi;salatalik;kirmizi mercimek;kivi;ayran;biber;taze meyve suyu;yogurt;kabak;;;;;
siyah cay;seker;yeni bahar;nohut;kori;badem sutu;bogurtlen;;;;;;;;
kahve;arpa;nohut;zerdecal;ispanak;soguk cay;tarcin;avokado;badem sutu;patlican;misir;visne;bugday;kirmizi mercimek;
serbet;sumak;;;;;;;;;;;;;
portakal;sogan;kirmizi mercimek;mayasiz alkoller;aci toz biber;misir;hayvansal sut;siyah cay;kori;zerdecal;corek otu;marul;kusbasi et;;
mayali alkoller;tavuk eti;salatalik;taze meyve suyu;nohut;yeni bahar;;;;;;;;;
bakla;zerdecal;maydanoz;ispanak;bitki cayi;bugday;mayali alkoller;seker;vanilya;soguk cay;biberiye;roka;hazir meyve suyu;nane;tereyagi
sogan;cilek;bulgur;zerdecal;sarimsak;roka;yumurta;yulaf;yogurt;seker;visne;elma;aci toz biber;misir;
karpuz;boza;bugday;ejder meyvesi;sucuk;bulgur;aci toz biber;kiyma;kori;sogan;sumak;sakatatlar;kusbasi et;;
hindi eti;cavdar;kimyon;kori;ejder meyvesi;ispanak;bakla;peynir;;;;;;;
nane;kekik;biberiye;sucuk;yulaf sutu;domates;sarimsak;misir;;;;;;;
nohut;yumurta;sucuk;;;;;;;;;;;;
aci pul biber;;;;;;;;;;;;;;
ananas;visne;bogurtlen;kimyon;bakla;tuz;siyah cay;aci pul biber;kakule;;;;;;
mandalina;elma;bakla;tavuk eti;pirasa;portakal;sosis;bogurtlen;soguk cay;sarimsak;margarin;hazir meyve suyu;nar;badem sutu;
cilek;ekmek;mango;kori;sogan;sosis;kiraz;kirmizi mercimek;;;;;;;
kajun;kivi;yogurt;kekik;vanilya;sumak;boza;biberiye;mayasiz alkoller;patlican;ejder meyvesi;tuz;kiraz;kakule;armut
pirasa;avokado;domates;portakal;ispanak;kuru fasulye;kekik;muz;;;;;;;
hazir meyve suyu;pirinc;yesil mercimek;roka;bitki cayi;elma;mayali alkoller;yeni bahar;zerdecal;bezelye;bakla;;;;
corek otu;hayvansal sut;yulaf;elma;lahana;kimyon;;;;;;;;;
yesil mercimek;kiraz;tuz;avokado;;;;;;;;;;;
boza;portakal;kivi;kajun;ejder meyvesi;armut;kahve;biberiye;yulaf;zerdecal;bitki cayi;sucuk;bulgur;misir;
biber;marul;soguk cay;karpuz;kabak;badem sutu;ekmek;;;;;;;;
salam;tereyagi;avokado;elma;nane;kivi;mandalina;;;;;;;;
ayran;elma;domates;portakal;kola-gazoz vb.;maydanoz;kivi;sogan;hayvansal sut;arpa;kabak;;;;
bugday;yogurt;;;;;;;;;;;;;
kuru fasulye;taze meyve suyu;kori;bogurtlen;nohut;arpa;soguk cay;biber;;;;;;;
bogurtlen;kuru fasulye;;;;;;;;;;;;;
yulaf;aci toz biber;vanilya;maydanoz;tereyagi;sogan;kekik;yesil mercimek;zerdecal;;;;;;
arpa;tavuk eti;bogurtlen;corek otu;patlican;biberiye;margarin;aci pul biber;vanilya;yogurt;kivi;kuru fasulye;kiraz;misir;
maydanoz;kuru fasulye;kivi;kakule;kola-gazoz vb.;bitki cayi;cilek;ekmek;kabak;sogan;nane;sosis;cavdar;;
kusbasi et;;;;;;;;;;;;;;
hayvansal sut;pirasa;aci pul biber;kirmizi mercimek;biber;salam;arpa;kimyon;nane;zerdecal;;;;;
bitki cayi;patlican;roka;bezelye;elma;portakal;;;;;;;;;
kimyon;;;;;;;;;;;;;;
kori;kimyon;kakule;;;;;;;;;;;;
vanilya;;;;;;;;;;;;;;
tavuk eti;muz;kola-gazoz vb.;bezelye;sosis;yeni bahar;yesil mercimek;serbet;;;;;;;
avokado;hayvansal sut;yogurt;nar;roka;kiyma;cilek;yulaf sutu;pirinc;siyah cay;arpa;sogan;biber;kahve;
zerdecal;kiyma;yulaf sutu;bogurtlen;karpuz;muz;kivi;;;;;;;;
hazir meyve suyu;mandalina;salam;hindi eti;hayvansal sut;kiyma;muz;yeni bahar;tereyagi;;;;;;
boza;armut;nar;kabak;nane;pirasa;sakatatlar;kivi;kiyma;ayran;kekik;elma;bitki cayi;mandalina;muz
hayvansal sut;;;;;;;;;;;;;;
peynir;yesil mercimek;;;;;;;;;;;;;
cavdar;ispanak;;;;;;;;;;;;;
peynir;ekmek;sogan;tavuk eti;elma;kiraz;soguk cay;salam;sucuk;kusbasi et;visne;mayasiz alkoller;armut;cavdar;kiyma
corek otu;pirinc;domates;kuru fasulye;salatalik;seker;kori;ananas;ekmek;yogurt;sosis;;;;
yulaf;mandalina;nohut;patlican;;;;;;;;;;;
kabak;ekmek;soguk cay;kivi;avokado;taze meyve suyu;nohut;sosis;;;;;;;
lahana;ispanak;patlican;kabak;;;;;;;;;;;
marul;maydanoz;bugday;tavuk eti;tatli toz biber;kuru fasulye;tarcin;;;;;;;;
sarimsak;mango;yeni bahar;kola-gazoz vb.;bezelye;yulaf sutu;yesil mercimek;tavuk eti;badem sutu;lahana;sucuk;elma;hindi eti;margarin;kivi
tuz;tatli toz biber;ananas;sumak;kahve;tereyagi;ejder meyvesi;cavdar;tarcin;taze meyve suyu;;;;;
roka;kusbasi et;portakal;bugday;yulaf;siyah cay;sakatatlar;;;;;;;;
kuru fasulye;elma;kola-gazoz vb.;;;;;;;;;;;;
ispanak;kuru fasulye;portakal;avokado;hayvansal sut;misir;balik;cilek;siyah cay;bugday;maydanoz;armut;;;
nohut;marul;kakule;soguk cay;sucuk;;;;;;;;;;
kekik;kola-gazoz vb.;seker;nane;kakule;ayran;mango;marul;maydanoz;tuz;roka;sarimsak;biberiye;;
sarimsak;kola-gazoz vb.;kakule;bogurtlen;mango;nar;pirasa;sumak;;;;;;;
roka;ananas;bulgur;tereyagi;bugday;mango;tavuk eti;salatalik;hindi eti;seker;kahve;badem sutu;avokado;;
mayali alkoller;nar;ananas;salatalik;portakal;ekmek;kori;mayasiz alkoller;vanilya;mango;serbet;;;;
kirmizi mercimek;kakule;sucuk;hayvansal sut;yeni bahar;tatli toz biber;yogurt;kuru fasulye;siyah cay;biberiye;elma;kajun;tuz;;
vanilya;;;;;;;;;;;;;;
sogan;yeni bahar;boza;kajun;peynir;biberiye;salam;;;;;;;;
tavuk eti;soguk cay;kivi;sucuk;serbet;ekmek;ayran;tereyagi;yesil mercimek;marul;sogan;aci toz biber;sarimsak;;
kola-gazoz vb.;muz;bitki cayi;cavdar;seker;hazir meyve suyu;serbet;kahve;nane;;;;;;
margarin;;;;;;;;;;;;;;
tarcin;visne;margarin;karpuz;mango;arpa;sarimsak;nohut;;;;;;;
zerdecal;mayasiz alkoller;soguk cay;sumak;biberiye;ispanak;vanilya;visne;kajun;siyah cay;cilek;roka;kivi;;
kabak;;;;;;;;;;;;;;
kiraz;nane;;;;;;;;;;;;;
kivi;kola-gazoz vb.;kusbasi et;kiyma;tuz;yesil mercimek;;;;;;;;;
taze meyve suyu;domates;tuz;elma;patlican;lahana;bakla;vanilya;armut;bogurtlen;mayali alkoller;kimyon;hayvansal sut;bulgur;
elma;visne;marul;kakule;yesil mercimek;mayali alkoller;lahana;hindi eti;ejder meyvesi;bulgur;kusbasi et;tavuk eti;sumak;seker;nane
tarcin;biberiye;sakatatlar;karpuz;kiyma;kori;kajun;marul;yogurt;sogan;;;;;
biberiye;karpuz;kiyma;kiraz;ekmek;aci toz biber;sosis;;;;;;;;
bogurtlen;sakatatlar;arpa;sarimsak;karpuz;sogan;kajun;tatli toz biber;mayali alkoller;balik;kakule;tuz;avokado;sosis;aci pul biber
tavuk eti;boza;;;;;;;;;;;;;
seker;patlican;muz;hayvansal sut;roka;armut;;;;;;;;;
ayran;pirinc;tuz;ekmek;armut;arpa;kajun;kivi;tarcin;kusbasi et;salam;karpuz;nar;vanilya;bakla
elma;;;;;;;;;;;;;;
ananas;hindi eti;kuru fasulye;kiraz;aci pul biber;domates;;;;;;;;;
yulaf;bugday;hindi eti;hazir meyve suyu;kekik;serbet;hayvansal sut;;;;;;;;
mayasiz alkoller;mango;sarimsak;boza;sakatatlar;kola-gazoz vb.;ejder meyvesi;kusbasi et;;;;;;;
arpa;kuru fasulye;;;;;;;;;;;;;
aci pul biber;hindi eti;tatli toz biber;corek otu;peynir;domates;tarcin;balik;mayasiz alkoller;biberiye;mandalina;tereyagi;tavuk eti;;
sucuk;tarcin;mayasiz alkoller;taze meyve suyu;yogurt;mandalina;yumurta;maydanoz;hazir meyve suyu;pirinc;;;;;
balik;hayvansal sut;;;;;;;;;;;;;
maydanoz;siyah cay;hazir meyve suyu;taze meyve suyu;pirasa;portakal;balik;ispanak;domates;kuru fasulye;karpuz;ekmek;kakule;mango;armut
tuz;hayvansal sut;kakule;kirmizi mercimek;maydanoz;hazir meyve suyu;karpuz;bakla;portakal;;;;;;
tatli toz biber;marul;peynir;bugday;kori;kola-gazoz vb.;kakule;;;;;;;;
cilek;ejder meyvesi;marul;kiyma;domates;hazir meyve suyu;tuz;salatalik;;;;;;;
misir;mango;;;;;;;;;;;;;
kivi;misir;kekik;nohut;sucuk;avokado;sumak;yogurt;balik;karpuz;portakal;sarimsak;boza;pirasa;kiyma
kivi;kekik;ejder meyvesi;;;;;;;;;;;;
mayali alkoller;sumak;;;;;;;;;;;;;
kola-gazoz vb.;biberiye;;;;;;;;;;;;;
kola-gazoz vb.;tavuk eti;kekik;yumurta;cilek;;;;;;;;;;
aci toz biber;;;;;;;;;;;;;;
hazir meyve suyu;armut;pirasa;ananas;taze meyve suyu;pirinc;karpuz;kiyma;bakla;ispanak;mandalina;domates;;;
kekik;tarcin;nohut;zerdecal;nane;yogurt;kivi;soguk cay;;;;;;;
soguk cay;seker;bugday;corek otu;kajun;kusbasi et;sogan;vanilya;bezelye;balik;visne;portakal;kabak;ananas;salam
muz;hindi eti;;;;;;;;;;;;;
hindi eti;patlican;pirinc;serbet;soguk cay;mango;ejder meyvesi;bitki cayi;mandalina;;;;;;
kakule;muz;badem sutu;tuz;soguk cay;;;;;;;;;;
kabak;;;;;;;;;;;;;;
sumak;seker;;;;;;;;;;;;;
portakal;kivi;elma;;;;;;;;;;;;
nane;kabak;tatli toz biber;;;;;;;;;;;;
marul;sakatatlar;kekik;ananas;bogurtlen;yogurt;mayali alkoller;kola-gazoz vb.;aci toz biber;tatli toz biber;maydanoz;kabak;lahana;;
salatalik;seker;marul;sucuk;kuru fasulye;bogurtlen;kabak;taze meyve suyu;biber;lahana;;;;;
avokado;hayvansal sut;kuru fasulye;tatli toz biber;nohut;mandalina;misir;;;;;;;;
kivi;arpa;bulgur;kahve;biberiye;armut;nohut;soguk cay;kimyon;roka;margarin;peynir;salam;;
hazir meyve suyu;aci pul biber;bugday;nane;salam;kirmizi mercimek;sogan;maydanoz;boza;mayasiz alkoller;tavuk eti;;;;
ananas;corek otu;siyah cay;kimyon;;;;;;;;;;;
nohut;kuru fasulye;mango;margarin;aci toz biber;;;;;;;;;;
