bakla;sarimsak;mayasiz alkoller;sucuk;arpa;elma;kuru fasulye;ejder meyvesi;;;;;;;
mandalina;misir;nane;badem sutu;ejder meyvesi;yulaf;;;;;;;;;
cavdar;tavuk eti;nar;bakla;tereyagi;nane;ayran;kola-gazoz vb.;;;;;;;
marul;sogan;nohut;arpa;misir;yulaf;ananas;maydanoz;salatalik;;;;;;
zerdecal;domates;;;;;;;;;;;;;
tatli toz biber;;;;;;;;;;;;;;
tavuk eti;patlican;tarcin;tereyagi;boza;kivi;corek otu;kabak;bogurtlen;taze meyve suyu;yesil mercimek;mayali alkoller;vanilya;salatalik;
peynir;yogurt;kori;soguk cay;margarin;tereyagi;mandalina;;;;;;;;
margarin;portakal;salam;peynir;kimyon;bezelye;;;;;;;;;
zerdecal;domates;sarimsak;kirmizi mercimek;kajun;tatli toz biber;ejder meyvesi;yumurta;portakal;serbet;cavdar;tavuk eti;kabak;;
badem sutu;ayran;pirasa;muz;salam;kori;hazir meyve suyu;yumurta;kimyon;margarin;nohut;;;;
yeni bahar;tuz;;;;;;;;;;;;;
zerdecal;domates;;;;;;;;;;;;;
armut;domates;aci toz biber;sucuk;sosis;;;;;;;;;;
nohut;serbet;kahve;taze meyve suyu;badem sutu;armut;roka;mayali alkoller;sogan;;;;;;
ispanak;bitki cayi;ananas;ayran;sucuk;mandalina;kabak;;;;;;;;
bezelye;balik;soguk cay;kakule;sarimsak;kori;ekmek;;;;;;;;
nane;hayvansal sut;soguk cay;kahve;kori;portakal;bulgur;sogan;hindi eti;sakatatlar;yulaf;patlican;;;
pirinc;kirmizi mercimek;;;;;;;;;;;;;
tatli toz biber;siyah cay;badem sutu;yumurta;sumak;pirinc;kajun;yulaf;;;;;;;
taze meyve suyu;peynir;muz;biberiye;salatalik;elma;arpa;kusbasi et;misir;portakal;karpuz;lahana;tarcin;;
mandalina;salatalik;armut;cavdar;patlican;aci toz biber;boza;;;;;;;;
lahana;biber;yulaf sutu;mayali alkoller;mango;kivi;muz;bitki cayi;kajun;yogurt;;;;;
patlican;hindi eti;salam;kiraz;taze meyve suyu;nohut;nar;kabak;portakal;avokado;mandalina;boza;kivi;;
muz;kirmizi mercimek;biberiye;bezelye;seker;bakla;yumurta;bitki cayi;tatli toz biber;mayasiz alkoller;mayali alkoller;;;;
salam;sucuk;marul;;;;;;;;;;;;
bitki cayi;salatalik;hayvansal sut;seker;sosis;tatli toz biber;sucuk;bulgur;zerdecal;;;;;;
