tuz;badem sutu;domates;kirmizi mercimek;;;;;;;;;;;
bugday;muz;roka;bakla;tatli toz biber;misir;salam;yumurta;mayali alkoller;ananas;mandalina;;;;
avokado;roka;kekik;kori;;;;;;;;;;;
muz;ispanak;biber;hindi eti;lahana;kekik;siyah cay;;;;;;;;
lahana;salatalik;kakule;siyah cay;;;;;;;;;;;
kuru fasulye;marul;zerdecal;pirinc;patlican;kola-gazoz vb.;elma;kiyma;taze meyve suyu;arpa;;;;;
tatli toz biber;ananas;kimyon;kajun;bogurtlen;;;;;;;;;;
domates;nohut;bogurtlen;;;;;;;;;;;;
zerdecal;domates;;;;;;;;;;;;;
bezelye;sucuk;ananas;taze meyve suyu;kajun;zerdecal;bugday;bakla;lahana;mango;seker;ejder meyvesi;;;
yeni bahar;bitki cayi;patlican;kiyma;marul;tereyagi;mango;sakatatlar;bakla;avokado;tatli toz biber;aci toz biber;lahana;sucuk;kivi
vanilya;;;;;;;;;;;;;;
zerdecal;;;;;;;;;;;;;;
aci toz biber;;;;;;;;;;;;;;
margarin;mayasiz alkoller;kirmizi mercimek;kori;yumurta;peynir;lahana;cilek;kuru fasulye;yeni bahar;kabak;vanilya;kiraz;tatli toz biber;kiyma
aci pul biber;sogan;seker;patlican;balik;visne;kiraz;mayali alkoller;hayvansal sut;misir;pirasa;sarimsak;;;
sogan;biberiye;salam;kiyma;muz;yulaf sutu;maydanoz;soguk cay;lahana;tarcin;hayvansal sut;kusbasi et;;;
kuru fasulye;cilek;ejder meyvesi;ekmek;badem sutu;ananas;kori;mayasiz alkoller;zerdecal;avokado;bakla;patlican;kiyma;yulaf;
yeni bahar;;;;;;;;;;;;;;
kola-gazoz vb.;nane;patlican;;;;;;;;;;;;
visne;arpa;mayali alkoller;yogurt;kusbasi et;aci toz biber;lahana;yeni bahar;taze meyve suyu;maydanoz;kahve;salatalik;ejder meyvesi;aci pul biber;kajun
zerdecal;patlican;muz;mayasiz alkoller;sucuk;;;;;;;;;;
aci toz biber;mandalina;sosis;kivi;muz;hayvansal sut;kiyma;sumak;cilek;tereyagi;serbet;;;;
biber;taze meyve suyu;;;;;;;;;;;;;
yeni bahar;;;;;;;;;;;;;;
kiraz;taze meyve suyu;kekik;sarimsak;pirinc;nane;;;;;;;;;
yesil mercimek;bulgur;cilek;tatli toz biber;corek otu;ayran;portakal;badem sutu;;;;;;;
seker;;;;;;;;;;;;;;
hindi eti;patlican;aci pul biber;lahana;tavuk eti;kiraz;ananas;bakla;yulaf;avokado;maydanoz;sucuk;mayasiz alkoller;;
kivi;sosis;sakatatlar;kola-gazoz vb.;sucuk;bezelye;tuz;taze meyve suyu;nohut;sumak;muz;margarin;;;
kiyma;muz;sosis;yeni bahar;tatli toz biber;serbet;mayasiz alkoller;hazir meyve suyu;;;;;;;
yulaf;mayasiz alkoller;tereyagi;hayvansal sut;zerdecal;peynir;ekmek;;;;;;;;
mayali alkoller;kirmizi mercimek;bezelye;kabak;balik;seker;arpa;ananas;mango;kuru fasulye;boza;hindi eti;ekmek;;
kirmizi mercimek;hindi eti;nane;;;;;;;;;;;;
domates;kajun;margarin;balik;sarimsak;cavdar;yulaf sutu;kori;;;;;;;
kori;yeni bahar;bugday;mango;tarcin;ekmek;cilek;bulgur;yesil mercimek;bitki cayi;;;;;
pirinc;visne;kiyma;mandalina;kahve;nohut;;;;;;;;;
marul;biber;kahve;kimyon;sarimsak;visne;salatalik;nar;mayali alkoller;;;;;;
tarcin;bugday;kakule;kuru fasulye;sumak;yulaf;sosis;portakal;;;;;;;
kekik;ejder meyvesi;biber;nane;kusbasi et;pirinc;margarin;visne;yulaf;;;;;;
mandalina;yeni bahar;bitki cayi;yulaf;sumak;sucuk;;;;;;;;;
aci pul biber;biberiye;yeni bahar;ejder meyvesi;kiraz;avokado;misir;ayran;maydanoz;sucuk;kusbasi et;mandalina;;;
sumak;hindi eti;balik;bulgur;pirinc;portakal;taze meyve suyu;nane;kahve;pirasa;;;;;
lahana;aci pul biber;tavuk eti;roka;kakule;yulaf sutu;salam;;;;;;;;
elma;bogurtlen;corek otu;tarcin;kiraz;maydanoz;ekmek;seker;margarin;balik;;;;;
bogurtlen;ayran;lahana;ananas;nane;kekik;kola-gazoz vb.;balik;bezelye;kusbasi et;bitki cayi;;;;
yumurta;hazir meyve suyu;corek otu;tatli toz biber;kuru fasulye;ejder meyvesi;aci toz biber;bugday;sosis;cilek;karpuz;;;;
tatli toz biber;corek otu;bulgur;mayasiz alkoller;lahana;margarin;kimyon;kahve;;;;;;;
hindi eti;bezelye;corek otu;misir;tatli toz biber;nane;biberiye;nohut;bulgur;ejder meyvesi;mango;salatalik;;;
tatli toz biber;ananas;sarimsak;mayasiz alkoller;avokado;kivi;salam;ekmek;vanilya;ayran;kimyon;zerdecal;sumak;;
soguk cay;mayali alkoller;hayvansal sut;sucuk;kusbasi et;bogurtlen;kiraz;kimyon;nane;cilek;;;;;
balik;cilek;vanilya;yogurt;seker;kiraz;aci toz biber;arpa;;;;;;;
kiraz;nar;;;;;;;;;;;;;
portakal;kahve;visne;kimyon;tuz;salatalik;nar;nohut;bogurtlen;kajun;muz;;;;
misir;seker;mango;kiyma;;;;;;;;;;;
patlican;ananas;sumak;corek otu;bezelye;armut;soguk cay;kajun;aci toz biber;vanilya;ekmek;kola-gazoz vb.;salatalik;;
portakal;ejder meyvesi;armut;tatli toz biber;karpuz;yogurt;tavuk eti;bitki cayi;tuz;corek otu;kusbasi et;hindi eti;;;
karpuz;;;;;;;;;;;;;;
karpuz;kajun;visne;badem sutu;ekmek;cavdar;tatli toz biber;peynir;bulgur;kiyma;bogurtlen;serbet;;;
