mayali alkoller;bitki cayi;roka;tarcin;kola-gazoz vb.;corek otu;tuz;taze meyve suyu;badem sutu;vanilya;sosis;kori;maydanoz;aci pul biber;soguk cay
mayasiz alkoller;kimyon;pirinc;patlican;salatalik;sarimsak;yulaf sutu;aci pul biber;sakatatlar;karpuz;;;;;
tavuk eti;taze meyve suyu;karpuz;bulgur;bezelye;ejder meyvesi;kiraz;seker;cilek;balik;kivi;yeni bahar;;;
kabak;sumak;aci toz biber;soguk cay;yulaf;salatalik;kuru fasulye;yumurta;ekmek;misir;sakatatlar;;;;
mandalina;mayali alkoller;kirmizi mercimek;yesil mercimek;;;;;;;;;;;
vanilya;ispanak;ayran;bulgur;siyah cay;;;;;;;;;;
zerdecal;domates;;;;;;;;;;;;;
roka;bulgur;yeni bahar;hindi eti;sarimsak;muz;armut;kusbasi et;kola-gazoz vb.;;;;;;
sucuk;bezelye;kakule;pirinc;yumurta;;;;;;;;;;
bulgur;corek otu;tarcin;nohut;yumurta;hindi eti;tuz;yulaf;kajun;aci pul biber;bitki cayi;biberiye;yesil mercimek;kahve;
bugday;maydanoz;kajun;ejder meyvesi;peynir;sakatatlar;ispanak;;;;;;;;
ekmek;tarcin;bezelye;margarin;bogurtlen;kola-gazoz vb.;cavdar;;;;;;;;
domates;elma;hindi eti;kekik;armut;sakatatlar;balik;yumurta;;;;;;;
sosis;serbet;karpuz;sumak;yesil mercimek;seker;mayasiz alkoller;yulaf;nar;mayali alkoller;tuz;kabak;sarimsak;;
kahve;bugday;soguk cay;;;;;;;;;;;;
kusbasi et;ayran;margarin;ekmek;corek otu;peynir;tavuk eti;yumurta;serbet;kekik;zerdecal;bogurtlen;lahana;kakule;kuru fasulye
tarcin;siyah cay;soguk cay;yesil mercimek;aci toz biber;seker;salam;yulaf;visne;kabak;kivi;mayasiz alkoller;bitki cayi;nohut;
kabak;taze meyve suyu;kahve;boza;;;;;;;;;;;
misir;margarin;kirmizi mercimek;aci toz biber;kusbasi et;aci pul biber;sosis;;;;;;;;
kakule;salam;biber;kuru fasulye;siyah cay;kivi;;;;;;;;;
corek otu;patlican;vanilya;lahana;sumak;pirasa;kuru fasulye;portakal;maydanoz;avokado;elma;kabak;;;
nar;marul;aci toz biber;vanilya;tarcin;nane;;;;;;;;;
sogan;kuru fasulye;kusbasi et;serbet;badem sutu;sarimsak;corek otu;bakla;lahana;salatalik;;;;;
kuru fasulye;balik;karpuz;cavdar;bakla;aci pul biber;lahana;yogurt;;;;;;;
biberiye;yumurta;sakatatlar;;;;;;;;;;;;
zerdecal;kiyma;tatli toz biber;kekik;corek otu;cavdar;biberiye;pirasa;arpa;portakal;visne;mayali alkoller;;;
balik;maydanoz;nar;peynir;yulaf sutu;tavuk eti;yumurta;kuru fasulye;;;;;;;
