boza;hazir meyve suyu;mayasiz alkoller;kola-gazoz vb.;elma;bezelye;;;;;;;;;
ekmek;mayali alkoller;tereyagi;yesil mercimek;aci pul biber;arpa;serbet;taze meyve suyu;;;;;;;
kuru fasulye;boza;soguk cay;yeni bahar;cilek;patlican;sakatatlar;karpuz;tereyagi;lahana;zerdecal;;;;
bulgur;yogurt;yumurta;bitki cayi;nohut;avokado;cavdar;nar;tuz;domates;kori;sarimsak;pirasa;sogan;kimyon
zerdecal;seker;mayasiz alkoller;lahana;ayran;;;;;;;;;;
badem sutu;arpa;yulaf;biber;tuz;sarimsak;elma;;;;;;;;
yulaf sutu;yogurt;maydanoz;visne;bezelye;biberiye;patlican;kabak;hazir meyve suyu;;;;;;
yulaf sutu;margarin;taze meyve suyu;avokado;patlican;aci pul biber;sogan;bulgur;bitki cayi;sumak;ejder meyvesi;arpa;karpuz;kori;
sakatatlar;hazir meyve suyu;biber;tuz;kekik;;;;;;;;;;
corek otu;bezelye;tarcin;sucuk;;;;;;;;;;;
avokado;hayvansal sut;sogan;pirinc;salatalik;bitki cayi;tereyagi;yogurt;armut;;;;;;
yulaf;kabak;roka;siyah cay;salam;kimyon;;;;;;;;;
kola-gazoz vb.;salam;peynir;kiyma;;;;;;;;;;;
zerdecal;domates;;;;;;;;;;;;;
yumurta;tatli toz biber;corek otu;boza;;;;;;;;;;;
sucuk;bugday;vanilya;patlican;biberiye;nohut;corek otu;kakule;;;;;;;
bulgur;tarcin;salam;tavuk eti;pirinc;kiraz;tereyagi;kekik;mayali alkoller;;;;;;
nohut;kori;badem sutu;zerdecal;;;;;;;;;;;
mandalina;sumak;kajun;hazir meyve suyu;misir;kusbasi et;balik;kiyma;bugday;ekmek;tarcin;;;;
tarcin;salam;;;;;;;;;;;;;
karpuz;ejder meyvesi;;;;;;;;;;;;;
aci pul biber;salam;taze meyve suyu;;;;;;;;;;;;
corek otu;seker;sarimsak;salam;pirinc;ekmek;;;;;;;;;
seker;sakatatlar;tatli toz biber;yulaf sutu;;;;;;;;;;;
kuru fasulye;nar;kabak;yeni bahar;tatli toz biber;yogurt;kekik;nohut;taze meyve suyu;;;;;;
