mayali alkoller;salatalik;domates;balik;misir;hazir meyve suyu;;;;;;;;;
cilek;hazir meyve suyu;pirinc;muz;kola-gazoz vb.;patlican;ispanak;;;;;;;;
sosis;visne;biber;biberiye;aci pul biber;nane;maydanoz;nohut;serbet;vanilya;mayali alkoller;yulaf;karpuz;;
avokado;badem sutu;siyah cay;pirinc;nar;;;;;;;;;;
mango;sucuk;badem sutu;seker;;;;;;;;;;;
margarin;yulaf;;;;;;;;;;;;;
tavuk eti;domates;sarimsak;sucuk;tatli toz biber;lahana;nohut;kivi;;;;;;;
boza;sumak;sosis;kiyma;sogan;kekik;;;;;;;;;
tarcin;cavdar;bakla;corek otu;hayvansal sut;boza;kusbasi et;yesil mercimek;kakule;kabak;arpa;serbet;biber;;
elma;ejder meyvesi;kimyon;;;;;;;;;;;;
salatalik;ananas;;;;;;;;;;;;;
kuru fasulye;yogurt;karpuz;serbet;peynir;ekmek;biber;visne;;;;;;;
ispanak;kabak;mango;bulgur;pirasa;bitki cayi;zerdecal;elma;tereyagi;tarcin;arpa;maydanoz;kori;biberiye;badem sutu
peynir;karpuz;kuru fasulye;arpa;pirasa;aci toz biber;yesil mercimek;yogurt;;;;;;;
kusbasi et;elma;patlican;visne;corek otu;hazir meyve suyu;kahve;marul;bakla;sarimsak;avokado;nane;cavdar;bogurtlen;yesil mercimek
kekik;mayasiz alkoller;bugday;aci toz biber;sakatatlar;balik;;;;;;;;;
sucuk;arpa;avokado;kiraz;ejder meyvesi;aci toz biber;pirasa;taze meyve suyu;kusbasi et;kekik;sumak;;;;
kori;lahana;hayvansal sut;bugday;salatalik;biberiye;nane;boza;vanilya;bogurtlen;ananas;karpuz;sarimsak;domates;aci pul biber
pirinc;bogurtlen;kajun;lahana;bakla;;;;;;;;;;
tarcin;ayran;soguk cay;taze meyve suyu;aci toz biber;ekmek;roka;peynir;bulgur;;;;;;
sumak;mayasiz alkoller;;;;;;;;;;;;;
zerdecal;domates;;;;;;;;;;;;;
bakla;nane;yesil mercimek;;;;;;;;;;;;
kajun;yumurta;hazir meyve suyu;yogurt;kimyon;patlican;kuru fasulye;seker;tavuk eti;kirmizi mercimek;marul;yesil mercimek;mayali alkoller;yulaf;boza
salatalik;lahana;boza;kimyon;;;;;;;;;;;
vanilya;lahana;bezelye;biberiye;kori;kajun;tavuk eti;;;;;;;;
nar;kekik;kirmizi mercimek;yumurta;yulaf sutu;maydanoz;yesil mercimek;yulaf;biber;ekmek;kimyon;margarin;;;
taze meyve suyu;tavuk eti;;;;;;;;;;;;;
portakal;nane;;;;;;;;;;;;;
kimyon;pirinc;mandalina;avokado;ispanak;vanilya;domates;mango;salam;;;;;;
aci toz biber;maydanoz;hindi eti;arpa;;;;;;;;;;;
salatalik;elma;armut;badem sutu;yogurt;;;;;;;;;;
salatalik;avokado;kiyma;boza;;;;;;;;;;;
muz;arpa;kiraz;avokado;;;;;;;;;;;
lahana;elma;mandalina;;;;;;;;;;;;
hayvansal sut;vanilya;armut;bakla;lahana;boza;bulgur;;;;;;;;
kori;ekmek;kirmizi mercimek;yogurt;cilek;patlican;sumak;kiraz;;;;;;;
avokado;peynir;aci pul biber;sosis;sucuk;sarimsak;bulgur;kivi;tarcin;yeni bahar;salam;kekik;mango;;
yesil mercimek;balik;sogan;cilek;pirinc;;;;;;;;;;
yesil mercimek;tatli toz biber;biberiye;peynir;mayasiz alkoller;nane;lahana;;;;;;;;
mayasiz alkoller;peynir;bugday;muz;kabak;bakla;domates;pirasa;aci toz biber;kahve;cavdar;portakal;bulgur;biberiye;ispanak
portakal;avokado;karpuz;bogurtlen;mandalina;tereyagi;domates;mayasiz alkoller;kiyma;yulaf sutu;badem sutu;;;;
avokado;;;;;;;;;;;;;;
visne;sumak;mayasiz alkoller;patlican;kirmizi mercimek;kabak;mango;roka;kiraz;kuru fasulye;badem sutu;;;;
nane;yulaf;mandalina;;;;;;;;;;;;
karpuz;sosis;;;;;;;;;;;;;
vanilya;misir;ananas;yumurta;tuz;visne;kabak;cavdar;portakal;seker;balik;boza;kusbasi et;nohut;karpuz
bugday;kola-gazoz vb.;sumak;tavuk eti;nane;boza;kiyma;roka;badem sutu;kuru fasulye;pirinc;;;;
cavdar;bulgur;sosis;ekmek;cilek;mayali alkoller;bezelye;elma;serbet;ispanak;aci pul biber;;;;
kiyma;karpuz;seker;patlican;aci pul biber;ispanak;bugday;;;;;;;;
kusbasi et;tuz;kuru fasulye;nohut;roka;biber;yesil mercimek;karpuz;nar;hayvansal sut;pirinc;serbet;misir;;
mayali alkoller;yeni bahar;kola-gazoz vb.;salam;kivi;zerdecal;yulaf;soguk cay;hayvansal sut;kimyon;kiyma;;;;
muz;mayasiz alkoller;hayvansal sut;sogan;zerdecal;kimyon;;;;;;;;;
salatalik;arpa;kabak;bugday;bulgur;bakla;tarcin;badem sutu;sakatatlar;kimyon;kirmizi mercimek;boza;nohut;zerdecal;kori
kabak;seker;sakatatlar;kola-gazoz vb.;yogurt;balik;marul;hindi eti;zerdecal;;;;;;
serbet;muz;boza;tatli toz biber;ekmek;vanilya;arpa;yogurt;biberiye;soguk cay;sucuk;portakal;;;
pirinc;kekik;bitki cayi;bezelye;kuru fasulye;tavuk eti;kusbasi et;boza;yulaf sutu;sumak;biber;kajun;sogan;;
margarin;boza;mayali alkoller;;;;;;;;;;;;
aci pul biber;siyah cay;;;;;;;;;;;;;
biberiye;kabak;ayran;yeni bahar;soguk cay;tereyagi;bulgur;elma;;;;;;;
aci toz biber;boza;corek otu;biberiye;avokado;sogan;hindi eti;tuz;sumak;cilek;sucuk;kiraz;yeni bahar;yulaf sutu;biber
kivi;;;;;;;;;;;;;;
sakatatlar;;;;;;;;;;;;;;
kahve;hayvansal sut;bugday;marul;tatli toz biber;taze meyve suyu;tarcin;mayali alkoller;tavuk eti;ayran;corek otu;sumak;ekmek;;
salam;yumurta;taze meyve suyu;nane;;;;;;;;;;;
tatli toz biber;yulaf;domates;yulaf sutu;badem sutu;armut;sumak;sarimsak;soguk cay;aci pul biber;marul;yesil mercimek;sucuk;;
avokado;hindi eti;boza;yogurt;arpa;ispanak;kiraz;ananas;portakal;ayran;elma;yumurta;;;
ejder meyvesi;marul;;;;;;;;;;;;;
roka;portakal;kakule;nar;mango;sumak;tavuk eti;lahana;bakla;kiyma;nohut;hazir meyve suyu;kajun;;
pirinc;badem sutu;peynir;arpa;corek otu;salatalik;roka;kabak;lahana;siyah cay;ispanak;soguk cay;ananas;yogurt;taze meyve suyu
bakla;boza;bitki cayi;sogan;hayvansal sut;vanilya;ispanak;tarcin;salam;armut;sosis;;;;
mandalina;sarimsak;sakatatlar;kimyon;pirasa;salatalik;serbet;tereyagi;hazir meyve suyu;;;;;;
visne;tatli toz biber;hazir meyve suyu;mayasiz alkoller;siyah cay;zerdecal;margarin;bakla;corek otu;kirmizi mercimek;ejder meyvesi;sarimsak;;;
sarimsak;yulaf sutu;sumak;pirasa;hazir meyve suyu;tereyagi;hayvansal sut;;;;;;;;
boza;hazir meyve suyu;hayvansal sut;marul;taze meyve suyu;siyah cay;kajun;sucuk;muz;zerdecal;kola-gazoz vb.;margarin;;;
visne;hazir meyve suyu;marul;muz;;;;;;;;;;;
aci toz biber;salatalik;kuru fasulye;sumak;;;;;;;;;;;
nar;patlican;armut;muz;avokado;badem sutu;cilek;yeni bahar;kajun;kori;seker;biberiye;;;
yeni bahar;hindi eti;patlican;;;;;;;;;;;;
boza;misir;corek otu;kori;sakatatlar;;;;;;;;;;
zerdecal;;;;;;;;;;;;;;
seker;bulgur;elma;serbet;;;;;;;;;;;
salam;seker;misir;kahve;;;;;;;;;;;
soguk cay;kimyon;balik;boza;yogurt;sarimsak;cavdar;nohut;bakla;kakule;sumak;mayali alkoller;;;
ejder meyvesi;yumurta;mayali alkoller;tavuk eti;corek otu;pirasa;ananas;visne;yulaf sutu;kahve;kabak;margarin;marul;tarcin;
kahve;yulaf;yeni bahar;avokado;karpuz;sosis;aci toz biber;hazir meyve suyu;patlican;bugday;nohut;;;;
boza;kusbasi et;lahana;kajun;domates;bogurtlen;;;;;;;;;
bugday;;;;;;;;;;;;;;
armut;kiyma;sarimsak;margarin;kajun;yogurt;;;;;;;;;
kuru fasulye;yesil mercimek;pirinc;nane;sakatatlar;kusbasi et;kajun;elma;armut;yeni bahar;hazir meyve suyu;hayvansal sut;arpa;salam;
