sucuk;pirasa;ispanak;serbet;aci pul biber;yumurta;muz;sarimsak;nar;hazir meyve suyu;kahve;pirinc;bitki cayi;;
yeni bahar;sosis;kekik;sarimsak;marul;hindi eti;maydanoz;kabak;kajun;bulgur;tavuk eti;elma;;;
pirinc;kajun;mayali alkoller;tatli toz biber;corek otu;tarcin;aci pul biber;maydanoz;hindi eti;nohut;kabak;muz;mayasiz alkoller;ananas;
serbet;ananas;patlican;visne;kiraz;yulaf;domates;;;;;;;;
taze meyve suyu;mayasiz alkoller;salam;kori;sogan;nohut;corek otu;;;;;;;;
bulgur;muz;mandalina;salatalik;aci pul biber;peynir;bakla;yesil mercimek;siyah cay;hazir meyve suyu;tereyagi;kiyma;kola-gazoz vb.;;
elma;salatalik;;;;;;;;;;;;;
badem sutu;ejder meyvesi;avokado;hazir meyve suyu;ananas;armut;seker;salatalik;pirinc;kola-gazoz vb.;mango;salam;;;
badem sutu;aci pul biber;sarimsak;muz;zerdecal;aci toz biber;yogurt;kivi;yumurta;avokado;arpa;;;;
corek otu;taze meyve suyu;;;;;;;;;;;;;
aci toz biber;kakule;lahana;vanilya;arpa;nohut;patlican;seker;visne;tavuk eti;;;;;
kusbasi et;vanilya;muz;boza;ekmek;bitki cayi;kivi;kori;avokado;;;;;;
mayali alkoller;misir;sakatatlar;maydanoz;salatalik;bulgur;yesil mercimek;hazir meyve suyu;badem sutu;tatli toz biber;pirasa;karpuz;vanilya;kimyon;
corek otu;avokado;bezelye;;;;;;;;;;;;
yulaf sutu;kivi;kabak;biberiye;kimyon;bakla;yulaf;ananas;maydanoz;bugday;mango;;;;
portakal;yulaf sutu;visne;salam;sogan;ekmek;kuru fasulye;kusbasi et;seker;kiraz;ejder meyvesi;sumak;peynir;mandalina;
bitki cayi;roka;aci pul biber;pirasa;ispanak;taze meyve suyu;mayali alkoller;badem sutu;kabak;boza;patlican;cavdar;yogurt;;
kirmizi mercimek;vanilya;nane;ejder meyvesi;sosis;tavuk eti;ananas;;;;;;;;
mango;siyah cay;armut;roka;elma;sogan;sumak;sucuk;pirinc;kiyma;ayran;serbet;arpa;maydanoz;
avokado;ejder meyvesi;mayali alkoller;kiyma;ekmek;ananas;sogan;domates;yogurt;nar;visne;;;;
muz;sakatatlar;sumak;yumurta;mayali alkoller;soguk cay;salatalik;ekmek;nohut;;;;;;
taze meyve suyu;salam;aci pul biber;nar;;;;;;;;;;;
kiraz;yesil mercimek;kirmizi mercimek;bulgur;kola-gazoz vb.;kakule;;;;;;;;;
lahana;sosis;mango;domates;kakule;yulaf sutu;yulaf;bitki cayi;margarin;;;;;;
bogurtlen;nar;mandalina;tereyagi;bugday;pirasa;siyah cay;ayran;patlican;mayasiz alkoller;misir;;;;
zerdecal;domates;;;;;;;;;;;;;
nar;kivi;nane;corek otu;;;;;;;;;;;
ekmek;lahana;bitki cayi;;;;;;;;;;;;
maydanoz;kabak;aci toz biber;yulaf;armut;roka;tarcin;salatalik;kekik;badem sutu;yumurta;pirinc;;;
kimyon;nohut;kirmizi mercimek;ispanak;soguk cay;taze meyve suyu;kivi;balik;margarin;sogan;nane;karpuz;marul;visne;
patlican;hazir meyve suyu;maydanoz;armut;kusbasi et;marul;cilek;bogurtlen;cavdar;sucuk;avokado;mandalina;;;
karpuz;corek otu;nar;yulaf;salatalik;biberiye;;;;;;;;;
salam;zerdecal;nane;yeni bahar;bugday;hindi eti;lahana;ekmek;kirmizi mercimek;cilek;yulaf;;;;
karpuz;hazir meyve suyu;bakla;tavuk eti;peynir;ispanak;ejder meyvesi;misir;ananas;taze meyve suyu;hindi eti;bitki cayi;vanilya;seker;armut
arpa;yulaf;armut;hazir meyve suyu;yogurt;cavdar;patlican;yesil mercimek;peynir;bugday;siyah cay;seker;ayran;bezelye;
peynir;biber;;;;;;;;;;;;;
hindi eti;kiyma;vanilya;bitki cayi;mayali alkoller;patlican;sosis;visne;yulaf;;;;;;
boza;biberiye;hindi eti;;;;;;;;;;;;
hayvansal sut;karpuz;maydanoz;kimyon;marul;;;;;;;;;;
aci pul biber;kakule;cavdar;zerdecal;tereyagi;roka;serbet;kirmizi mercimek;salatalik;;;;;;
yesil mercimek;salam;biberiye;visne;taze meyve suyu;karpuz;ejder meyvesi;yeni bahar;mayasiz alkoller;pirinc;yogurt;kivi;nane;tavuk eti;siyah cay
tatli toz biber;kola-gazoz vb.;pirinc;hindi eti;bitki cayi;;;;;;;;;;
yulaf sutu;salatalik;domates;kuru fasulye;visne;bezelye;yesil mercimek;maydanoz;patlican;;;;;;
siyah cay;ejder meyvesi;;;;;;;;;;;;;
maydanoz;kuru fasulye;mandalina;patlican;visne;cilek;;;;;;;;;
aci pul biber;tarcin;sogan;elma;kori;sakatatlar;nar;;;;;;;;
yulaf;ekmek;ejder meyvesi;vanilya;cilek;yumurta;mayali alkoller;biberiye;nohut;margarin;siyah cay;;;;
kakule;soguk cay;cavdar;tavuk eti;salatalik;kajun;badem sutu;domates;pirinc;;;;;;
biberiye;margarin;misir;yulaf sutu;peynir;tatli toz biber;aci pul biber;boza;;;;;;;
kivi;hazir meyve suyu;cilek;ispanak;portakal;domates;serbet;elma;;;;;;;
bugday;domates;portakal;;;;;;;;;;;;
sakatatlar;pirinc;kajun;;;;;;;;;;;;
tavuk eti;kajun;nane;vanilya;soguk cay;boza;bitki cayi;muz;aci pul biber;kakule;kirmizi mercimek;;;;
ananas;yesil mercimek;bugday;mayali alkoller;vanilya;biberiye;salam;;;;;;;;
kahve;patlican;karpuz;kiraz;elma;margarin;yumurta;ejder meyvesi;;;;;;;
bogurtlen;kimyon;corek otu;badem sutu;armut;;;;;;;;;;
salatalik;yulaf;kiyma;biberiye;kori;armut;patlican;tarcin;bezelye;soguk cay;sakatatlar;hindi eti;;;
yumurta;aci pul biber;balik;sarimsak;nane;bitki cayi;yesil mercimek;pirinc;tereyagi;maydanoz;nar;kuru fasulye;yeni bahar;karpuz;kola-gazoz vb.
mandalina;hayvansal sut;sogan;siyah cay;tarcin;ispanak;kiyma;mayali alkoller;tereyagi;domates;lahana;tuz;;;
kiyma;ananas;marul;;;;;;;;;;;;
karpuz;sarimsak;sogan;nane;kola-gazoz vb.;domates;kiyma;boza;maydanoz;tereyagi;seker;;;;
elma;avokado;mandalina;boza;muz;armut;;;;;;;;;
mayasiz alkoller;aci toz biber;yogurt;kori;soguk cay;kiraz;kusbasi et;lahana;balik;seker;roka;yumurta;;;
mayali alkoller;portakal;balik;;;;;;;;;;;;
tatli toz biber;kusbasi et;karpuz;seker;;;;;;;;;;;
mandalina;bitki cayi;serbet;bogurtlen;elma;peynir;pirinc;vanilya;siyah cay;biberiye;bulgur;;;;
