margarin;ananas;mayali alkoller;misir;yeni bahar;kori;aci pul biber;serbet;visne;;;;;;
nohut;bogurtlen;sakatatlar;visne;corek otu;kimyon;ejder meyvesi;roka;siyah cay;tavuk eti;hindi eti;;;;
biber;yulaf sutu;kekik;ayran;avokado;kola-gazoz vb.;misir;balik;kusbasi et;tuz;sakatatlar;;;;
kori;margarin;sarimsak;arpa;yogurt;yumurta;kirmizi mercimek;yulaf sutu;yeni bahar;bugday;kola-gazoz vb.;sumak;sogan;biber;nohut
mango;nohut;tuz;kakule;mayasiz alkoller;sakatatlar;tavuk eti;marul;corek otu;aci pul biber;hindi eti;;;;
balik;elma;yeni bahar;aci toz biber;pirinc;soguk cay;ekmek;lahana;kusbasi et;sarimsak;sosis;visne;armut;;
tereyagi;misir;kabak;seker;yulaf sutu;;;;;;;;;;
bakla;pirasa;sosis;sucuk;;;;;;;;;;;
salam;mango;marul;bugday;seker;corek otu;armut;kabak;ananas;;;;;;
ayran;armut;nane;kahve;;;;;;;;;;;
portakal;tavuk eti;ispanak;aci toz biber;cilek;yumurta;biberiye;roka;peynir;kahve;;;;;
tarcin;kivi;aci toz biber;;;;;;;;;;;;
aci toz biber;aci pul biber;bitki cayi;ayran;;;;;;;;;;;
zerdecal;domates;;;;;;;;;;;;;
kiyma;yogurt;misir;yumurta;peynir;nohut;ananas;hazir meyve suyu;soguk cay;balik;elma;tarcin;tatli toz biber;;
hindi eti;sarimsak;cavdar;tuz;;;;;;;;;;;
bakla;bitki cayi;domates;yulaf;sogan;nane;seker;salam;kekik;peynir;badem sutu;tatli toz biber;;;
kusbasi et;sucuk;biber;tavuk eti;yesil mercimek;roka;cavdar;cilek;hayvansal sut;tatli toz biber;;;;;
bugday;misir;lahana;nane;kajun;visne;badem sutu;maydanoz;marul;serbet;ayran;;;;
hazir meyve suyu;ejder meyvesi;kajun;misir;badem sutu;mayasiz alkoller;kori;serbet;mandalina;sucuk;yesil mercimek;domates;aci pul biber;peynir;kimyon
mayali alkoller;kekik;hindi eti;bitki cayi;peynir;;;;;;;;;;
avokado;kola-gazoz vb.;ayran;bulgur;salam;;;;;;;;;;
biberiye;lahana;badem sutu;nohut;mayasiz alkoller;bugday;sogan;karpuz;arpa;ejder meyvesi;kirmizi mercimek;nar;;;
patlican;kekik;tatli toz biber;bitki cayi;muz;kakule;kivi;kusbasi et;hazir meyve suyu;yogurt;avokado;kabak;sarimsak;taze meyve suyu;
domates;kori;ejder meyvesi;tatli toz biber;mango;kiraz;pirinc;kajun;bakla;margarin;ekmek;salatalik;;;
kabak;elma;biber;kiraz;ayran;bakla;yumurta;kakule;kiyma;ispanak;mayasiz alkoller;sogan;nohut;;
arpa;bakla;nohut;;;;;;;;;;;;
ejder meyvesi;bitki cayi;bakla;mayali alkoller;bugday;roka;taze meyve suyu;kajun;yogurt;;;;;;
