balik;bezelye;cilek;mango;biber;corek otu;hindi eti;sosis;margarin;kahve;;;;;
margarin;hayvansal sut;lahana;arpa;taze meyve suyu;kabak;mandalina;yulaf;visne;boza;pirinc;misir;;;
ananas;hindi eti;kusbasi et;mandalina;;;;;;;;;;;
kuru fasulye;kimyon;cavdar;seker;nar;sucuk;bitki cayi;serbet;armut;aci toz biber;kirmizi mercimek;ekmek;bogurtlen;ananas;
mayali alkoller;patlican;kiyma;yumurta;tarcin;;;;;;;;;;
serbet;bitki cayi;kahve;nar;mango;;;;;;;;;;
kuru fasulye;nane;sogan;ananas;kabak;domates;visne;kahve;mayasiz alkoller;yeni bahar;cavdar;sosis;tavuk eti;sarimsak;armut
kakule;cavdar;marul;kimyon;tarcin;patlican;kekik;yeni bahar;kori;bugday;maydanoz;;;;
yogurt;;;;;;;;;;;;;;
pirasa;hazir meyve suyu;elma;kahve;kabak;aci pul biber;mango;kivi;soguk cay;;;;;;
patlican;cilek;siyah cay;mayasiz alkoller;kekik;;;;;;;;;;
kiyma;avokado;tereyagi;nohut;nar;mandalina;boza;kajun;sarimsak;salam;;;;;
salatalik;bitki cayi;bogurtlen;bugday;pirasa;bezelye;kivi;sosis;;;;;;;
bulgur;kori;tarcin;hindi eti;salam;mango;kuru fasulye;portakal;avokado;badem sutu;biberiye;biber;yesil mercimek;boza;nane
badem sutu;sogan;margarin;sumak;balik;siyah cay;hayvansal sut;ekmek;cavdar;kirmizi mercimek;kori;;;;
marul;portakal;taze meyve suyu;sumak;vanilya;nane;arpa;ejder meyvesi;;;;;;;
yulaf;bulgur;hazir meyve suyu;kakule;kiraz;salam;pirasa;soguk cay;misir;balik;portakal;kahve;;;
kiyma;sosis;bezelye;bakla;cavdar;roka;ejder meyvesi;pirinc;kimyon;mayali alkoller;cilek;mandalina;yumurta;kusbasi et;margarin
balik;ispanak;vanilya;serbet;ayran;;;;;;;;;;
zerdecal;domates;;;;;;;;;;;;;
bogurtlen;kiraz;ejder meyvesi;mayali alkoller;ekmek;nohut;vanilya;;;;;;;;
badem sutu;portakal;lahana;kiraz;roka;kirmizi mercimek;ananas;kahve;kiyma;;;;;;
margarin;mayasiz alkoller;zerdecal;tavuk eti;sosis;aci pul biber;marul;taze meyve suyu;salatalik;kekik;mandalina;muz;nar;bulgur;tatli toz biber
aci pul biber;kajun;tuz;hayvansal sut;avokado;lahana;;;;;;;;;
bugday;zerdecal;tarcin;cavdar;avokado;margarin;kuru fasulye;mandalina;tavuk eti;badem sutu;bulgur;;;;
salatalik;serbet;aci toz biber;soguk cay;;;;;;;;;;;
sarimsak;sakatatlar;bugday;visne;ispanak;corek otu;;;;;;;;;
hayvansal sut;kusbasi et;sucuk;muz;mandalina;vanilya;bugday;badem sutu;peynir;;;;;;
kakule;yulaf sutu;bezelye;ispanak;tuz;biber;zerdecal;bogurtlen;marul;serbet;soguk cay;tereyagi;badem sutu;cilek;
pirinc;kimyon;kivi;tarcin;domates;ejder meyvesi;peynir;roka;kusbasi et;yumurta;yulaf sutu;;;;
yulaf sutu;avokado;badem sutu;;;;;;;;;;;;
sakatatlar;aci pul biber;sogan;corek otu;bugday;bezelye;vanilya;mandalina;patlican;maydanoz;kiraz;mayasiz alkoller;zerdecal;kusbasi et;
ispanak;yulaf;muz;vanilya;kori;serbet;bulgur;portakal;zerdecal;sakatatlar;mayali alkoller;bogurtlen;sosis;ananas;
armut;sumak;tereyagi;yeni bahar;serbet;bulgur;salam;mandalina;corek otu;;;;;;
bulgur;corek otu;tatli toz biber;vanilya;kakule;marul;mayali alkoller;ejder meyvesi;;;;;;;
karpuz;yogurt;tereyagi;bitki cayi;yumurta;peynir;elma;kajun;hazir meyve suyu;cavdar;ananas;misir;nane;kimyon;
ananas;salam;aci pul biber;muz;;;;;;;;;;;
tereyagi;soguk cay;bulgur;cavdar;portakal;ejder meyvesi;misir;mayali alkoller;badem sutu;;;;;;
hazir meyve suyu;bulgur;elma;peynir;sucuk;badem sutu;yumurta;portakal;;;;;;;
yulaf;maydanoz;pirinc;elma;nohut;yumurta;bulgur;corek otu;marul;margarin;tuz;tereyagi;;;
kahve;nohut;margarin;yogurt;hazir meyve suyu;pirinc;sucuk;ayran;zerdecal;;;;;;
boza;tatli toz biber;mayasiz alkoller;tavuk eti;kahve;roka;bitki cayi;ekmek;aci toz biber;;;;;;
karpuz;tuz;hazir meyve suyu;salatalik;;;;;;;;;;;
hazir meyve suyu;yesil mercimek;margarin;peynir;tavuk eti;siyah cay;hayvansal sut;serbet;taze meyve suyu;kahve;arpa;elma;karpuz;;
ejder meyvesi;corek otu;nar;kusbasi et;ekmek;roka;balik;aci toz biber;sakatatlar;kuru fasulye;tatli toz biber;;;;
bugday;armut;tuz;cavdar;;;;;;;;;;;
badem sutu;sumak;;;;;;;;;;;;;
elma;bogurtlen;hazir meyve suyu;corek otu;kori;;;;;;;;;;
karpuz;maydanoz;yeni bahar;tuz;serbet;salam;seker;;;;;;;;
vanilya;maydanoz;hindi eti;boza;mandalina;bitki cayi;sarimsak;sumak;mayasiz alkoller;ananas;peynir;yesil mercimek;biber;kiraz;yeni bahar
vanilya;kakule;taze meyve suyu;kori;aci pul biber;salam;yumurta;marul;badem sutu;yulaf;;;;;
maydanoz;avokado;corek otu;kabak;bezelye;;;;;;;;;;
biberiye;roka;;;;;;;;;;;;;
kajun;kabak;avokado;lahana;kori;aci toz biber;bitki cayi;bugday;domates;siyah cay;tarcin;maydanoz;salatalik;yesil mercimek;
yesil mercimek;nane;domates;ananas;kola-gazoz vb.;kimyon;biberiye;marul;kiyma;margarin;hindi eti;;;;
sucuk;yeni bahar;kajun;yogurt;zerdecal;marul;badem sutu;ejder meyvesi;balik;patlican;kahve;;;;
kabak;yeni bahar;avokado;yulaf sutu;mandalina;;;;;;;;;;
badem sutu;nane;;;;;;;;;;;;;
sarimsak;kuru fasulye;kola-gazoz vb.;pirasa;yesil mercimek;kirmizi mercimek;ekmek;sogan;boza;mayasiz alkoller;;;;;
kuru fasulye;zerdecal;kori;margarin;tereyagi;sosis;yulaf;lahana;hayvansal sut;ananas;kivi;kahve;maydanoz;hazir meyve suyu;
bugday;ekmek;aci toz biber;ananas;mayasiz alkoller;kusbasi et;corek otu;mayali alkoller;kuru fasulye;yeni bahar;;;;;
taze meyve suyu;kahve;peynir;cilek;sosis;bulgur;portakal;kola-gazoz vb.;roka;;;;;;
bitki cayi;mayali alkoller;misir;marul;mandalina;kimyon;sosis;margarin;yeni bahar;pirasa;pirinc;kajun;biberiye;tereyagi;
taze meyve suyu;yesil mercimek;tatli toz biber;kimyon;armut;;;;;;;;;;
ananas;mandalina;siyah cay;elma;kahve;sogan;;;;;;;;;
kori;kivi;yeni bahar;mayasiz alkoller;mango;pirinc;kirmizi mercimek;ejder meyvesi;sakatatlar;roka;arpa;kusbasi et;kiyma;balik;salatalik
kekik;tatli toz biber;pirasa;;;;;;;;;;;;
roka;karpuz;;;;;;;;;;;;;
roka;bulgur;siyah cay;yumurta;sumak;;;;;;;;;;
bogurtlen;domates;aci pul biber;tarcin;avokado;hayvansal sut;armut;taze meyve suyu;bezelye;siyah cay;kirmizi mercimek;;;;
visne;sucuk;tuz;yogurt;sogan;yesil mercimek;serbet;kimyon;bugday;;;;;;
serbet;tatli toz biber;;;;;;;;;;;;;
arpa;kivi;aci toz biber;biber;;;;;;;;;;;
domates;siyah cay;seker;biberiye;taze meyve suyu;;;;;;;;;;
yumurta;peynir;kabak;salatalik;sumak;cavdar;kimyon;;;;;;;;
mayasiz alkoller;kahve;cilek;kajun;arpa;margarin;karpuz;bugday;bogurtlen;mandalina;bitki cayi;;;;
ayran;balik;kusbasi et;mayali alkoller;ejder meyvesi;sakatatlar;misir;badem sutu;;;;;;;
kabak;badem sutu;bakla;maydanoz;bulgur;pirinc;;;;;;;;;
mayasiz alkoller;portakal;nar;cilek;hindi eti;lahana;kakule;tatli toz biber;nohut;soguk cay;;;;;
lahana;;;;;;;;;;;;;;
bogurtlen;ekmek;kajun;kimyon;;;;;;;;;;;
kirmizi mercimek;;;;;;;;;;;;;;
ispanak;armut;mayali alkoller;taze meyve suyu;yulaf;bugday;;;;;;;;;
elma;kakule;cavdar;mango;kori;patlican;;;;;;;;;
hindi eti;domates;yumurta;;;;;;;;;;;;
arpa;yulaf;kabak;pirasa;vanilya;kivi;yulaf sutu;kiraz;biber;mango;balik;;;;
kekik;;;;;;;;;;;;;;
tereyagi;muz;bakla;sumak;hindi eti;yeni bahar;cilek;boza;domates;yesil mercimek;kuru fasulye;;;;
tatli toz biber;peynir;kiyma;serbet;margarin;domates;salatalik;;;;;;;;
yumurta;misir;kimyon;nar;pirasa;marul;hazir meyve suyu;kirmizi mercimek;;;;;;;
