seker;patlican;aci toz biber;serbet;yulaf;aci pul biber;;;;;;;;;
sogan;misir;kahve;bakla;ispanak;soguk cay;aci pul biber;hazir meyve suyu;sucuk;salatalik;nar;ananas;kori;;
kimyon;nar;peynir;karpuz;tereyagi;biberiye;tuz;;;;;;;;
biberiye;kuru fasulye;sumak;kusbasi et;kahve;;;;;;;;;;
biberiye;sogan;salatalik;yeni bahar;mayasiz alkoller;kekik;bezelye;zerdecal;visne;sumak;nar;sakatatlar;hayvansal sut;peynir;serbet
kori;kiyma;;;;;;;;;;;;;
corek otu;bezelye;hazir meyve suyu;pirinc;vanilya;avokado;cilek;maydanoz;yesil mercimek;;;;;;
bakla;biber;tarcin;bulgur;yesil mercimek;mandalina;badem sutu;sucuk;tuz;mayasiz alkoller;hindi eti;balik;bitki cayi;ayran;
zerdecal;domates;;;;;;;;;;;;;
nohut;vanilya;kiraz;maydanoz;kakule;domates;kiyma;;;;;;;;
ejder meyvesi;kimyon;yulaf sutu;siyah cay;mango;pirinc;;;;;;;;;
sucuk;yogurt;bakla;mayasiz alkoller;misir;kajun;;;;;;;;;
kekik;taze meyve suyu;bugday;yulaf sutu;hayvansal sut;ayran;bulgur;cilek;;;;;;;
boza;visne;marul;nane;bugday;bulgur;kabak;elma;bakla;mandalina;nohut;serbet;;;
margarin;soguk cay;marul;portakal;kahve;bulgur;yulaf;bitki cayi;muz;tarcin;ispanak;;;;
avokado;siyah cay;kori;mango;sarimsak;serbet;;;;;;;;;
boza;kiraz;tatli toz biber;kivi;bugday;arpa;;;;;;;;;
mayali alkoller;sakatatlar;kori;tuz;kuru fasulye;;;;;;;;;;
ayran;tereyagi;zerdecal;aci toz biber;kola-gazoz vb.;roka;balik;peynir;sogan;corek otu;biberiye;sucuk;badem sutu;mayasiz alkoller;
bogurtlen;tarcin;zerdecal;kirmizi mercimek;yesil mercimek;kiraz;nar;kekik;margarin;ispanak;;;;;
biber;avokado;zerdecal;margarin;marul;sosis;pirinc;mandalina;hayvansal sut;nane;nohut;siyah cay;cavdar;salatalik;
marul;kori;yulaf sutu;sosis;portakal;biber;;;;;;;;;
yumurta;lahana;hazir meyve suyu;tereyagi;bugday;kekik;hindi eti;kimyon;;;;;;;
sarimsak;hazir meyve suyu;pirinc;tarcin;salatalik;vanilya;bezelye;salam;yulaf;kori;;;;;
muz;yulaf;kuru fasulye;sosis;vanilya;maydanoz;sakatatlar;portakal;bezelye;sumak;margarin;;;;
biberiye;salam;hindi eti;maydanoz;tarcin;serbet;balik;kekik;bezelye;yumurta;karpuz;lahana;;;
kirmizi mercimek;pirasa;ananas;muz;badem sutu;siyah cay;mango;yogurt;tuz;boza;sucuk;ayran;kahve;corek otu;mayasiz alkoller
marul;karpuz;mango;ispanak;bugday;kakule;pirinc;kimyon;roka;aci pul biber;avokado;visne;kivi;;
yulaf sutu;kiraz;hindi eti;patlican;corek otu;yulaf;ekmek;ejder meyvesi;bugday;nar;bogurtlen;bakla;cilek;lahana;tatli toz biber
misir;arpa;mandalina;mayasiz alkoller;ananas;hazir meyve suyu;yulaf;ispanak;;;;;;;
sosis;avokado;tereyagi;aci toz biber;hindi eti;maydanoz;pirinc;;;;;;;;
elma;kirmizi mercimek;sarimsak;soguk cay;ekmek;misir;cilek;kabak;yesil mercimek;siyah cay;vanilya;hazir meyve suyu;;;
pirinc;ayran;soguk cay;tuz;hayvansal sut;domates;kirmizi mercimek;nar;;;;;;;
biberiye;peynir;ispanak;bitki cayi;kori;balik;sakatatlar;roka;ayran;kahve;bezelye;aci pul biber;yeni bahar;marul;
avokado;;;;;;;;;;;;;;
roka;;;;;;;;;;;;;;
pirasa;ekmek;yogurt;salatalik;bugday;biberiye;bulgur;bezelye;seker;;;;;;
kakule;maydanoz;tavuk eti;boza;sosis;patlican;bakla;bitki cayi;;;;;;;
pirasa;;;;;;;;;;;;;;
patlican;kahve;marul;biberiye;tuz;nane;;;;;;;;;
zerdecal;mayali alkoller;sumak;soguk cay;nar;bitki cayi;mango;muz;kiraz;kimyon;bulgur;vanilya;kola-gazoz vb.;;
peynir;mayasiz alkoller;tuz;salatalik;zerdecal;;;;;;;;;;
pirasa;kiyma;elma;sarimsak;mayasiz alkoller;hindi eti;sucuk;kajun;kusbasi et;avokado;tarcin;margarin;;;
sumak;soguk cay;hayvansal sut;armut;bogurtlen;zerdecal;kimyon;;;;;;;;
