kekik;sarimsak;patlican;;;;;;;;;;;;
tavuk eti;ananas;avokado;;;;;;;;;;;;
soguk cay;margarin;;;;;;;;;;;;;
elma;maydanoz;nane;vanilya;sumak;;;;;;;;;;
yesil mercimek;portakal;zerdecal;ekmek;hayvansal sut;balik;bogurtlen;biber;sosis;nohut;margarin;tatli toz biber;yulaf;nane;
mayasiz alkoller;kakule;sumak;avokado;pirinc;mandalina;hindi eti;bitki cayi;zerdecal;yogurt;corek otu;nar;biberiye;;
maydanoz;kusbasi et;soguk cay;margarin;bulgur;badem sutu;lahana;bugday;;;;;;;
domates;;;;;;;;;;;;;;
yeni bahar;pirinc;misir;kiraz;yumurta;serbet;yulaf sutu;biberiye;balik;avokado;boza;salam;kori;;
nane;nar;hazir meyve suyu;muz;mango;lahana;karpuz;kusbasi et;yumurta;aci toz biber;sucuk;domates;tatli toz biber;;
peynir;taze meyve suyu;soguk cay;balik;;;;;;;;;;;
yogurt;marul;seker;ekmek;bitki cayi;mandalina;tavuk eti;kabak;sarimsak;nohut;kivi;yumurta;sumak;roka;domates
elma;margarin;karpuz;ekmek;kakule;cavdar;peynir;hindi eti;kirmizi mercimek;mayali alkoller;;;;;
tereyagi;avokado;;;;;;;;;;;;;
misir;kahve;yulaf;lahana;kirmizi mercimek;;;;;;;;;;
sucuk;domates;portakal;;;;;;;;;;;;
serbet;mango;cavdar;bakla;margarin;tatli toz biber;cilek;;;;;;;;
peynir;seker;bakla;kola-gazoz vb.;maydanoz;lahana;nar;portakal;bezelye;;;;;;
ejder meyvesi;ispanak;salatalik;seker;bakla;marul;sucuk;kuru fasulye;balik;boza;zerdecal;yogurt;;;
balik;lahana;;;;;;;;;;;;;
patlican;ejder meyvesi;tavuk eti;ayran;taze meyve suyu;kakule;yesil mercimek;badem sutu;;;;;;;
balik;tarcin;boza;;;;;;;;;;;;
nane;bakla;elma;ayran;ekmek;kabak;;;;;;;;;
sucuk;tarcin;yulaf sutu;corek otu;hindi eti;patlican;balik;kakule;cilek;serbet;misir;avokado;;;
boza;kakule;mayasiz alkoller;elma;kimyon;salam;cilek;kajun;hindi eti;armut;mandalina;;;;
peynir;sarimsak;arpa;mayasiz alkoller;aci toz biber;bitki cayi;ananas;pirinc;yulaf;domates;yulaf sutu;kuru fasulye;;;
kuru fasulye;kahve;vanilya;aci pul biber;tuz;karpuz;yulaf sutu;armut;bakla;;;;;;
taze meyve suyu;aci pul biber;vanilya;yulaf;bitki cayi;pirinc;tarcin;salatalik;yesil mercimek;ayran;;;;;
yogurt;biberiye;sucuk;arpa;nane;karpuz;;;;;;;;;
marul;ejder meyvesi;kivi;kabak;nane;aci pul biber;pirinc;muz;maydanoz;hazir meyve suyu;tatli toz biber;mango;ananas;patlican;armut
badem sutu;bulgur;bugday;mango;kusbasi et;cavdar;tarcin;bogurtlen;;;;;;;
yogurt;sarimsak;salatalik;visne;domates;bogurtlen;biberiye;cilek;nar;aci pul biber;kimyon;sogan;kusbasi et;;
vanilya;mango;portakal;sarimsak;serbet;bakla;yulaf;tereyagi;kusbasi et;visne;biber;peynir;;;
karpuz;kabak;mayali alkoller;kuru fasulye;bugday;ekmek;ayran;hindi eti;yeni bahar;badem sutu;sumak;nohut;tatli toz biber;kori;corek otu
aci toz biber;misir;margarin;yogurt;soguk cay;sucuk;patlican;karpuz;lahana;kekik;nar;ayran;;;
maydanoz;;;;;;;;;;;;;;
cavdar;boza;corek otu;sakatatlar;kirmizi mercimek;;;;;;;;;;
yogurt;sosis;hazir meyve suyu;aci pul biber;kekik;mandalina;kuru fasulye;balik;armut;mayali alkoller;yesil mercimek;sakatatlar;marul;pirasa;yumurta
kabak;zerdecal;boza;biber;aci toz biber;ananas;margarin;kirmizi mercimek;domates;cilek;;;;;
kuru fasulye;pirinc;;;;;;;;;;;;;
kiyma;kirmizi mercimek;biber;soguk cay;armut;;;;;;;;;;
hayvansal sut;tereyagi;ayran;sogan;vanilya;cilek;yeni bahar;aci pul biber;;;;;;;
bulgur;bakla;bitki cayi;cilek;roka;bezelye;yulaf;kabak;ayran;cavdar;;;;;
avokado;aci pul biber;bitki cayi;kusbasi et;taze meyve suyu;yeni bahar;ekmek;kajun;;;;;;;
kakule;sogan;bogurtlen;nar;nohut;siyah cay;soguk cay;kabak;balik;bugday;hayvansal sut;tatli toz biber;ispanak;kiyma;bulgur
karpuz;ayran;ekmek;;;;;;;;;;;;
marul;kabak;;;;;;;;;;;;;
marul;bitki cayi;kusbasi et;kuru fasulye;armut;hazir meyve suyu;lahana;;;;;;;;
yumurta;corek otu;boza;marul;kabak;kimyon;kiraz;;;;;;;;
zerdecal;yogurt;roka;vanilya;kola-gazoz vb.;ejder meyvesi;nohut;;;;;;;;
portakal;sarimsak;elma;nohut;;;;;;;;;;;
yogurt;kekik;yulaf;kori;portakal;sucuk;sakatatlar;ayran;;;;;;;
karpuz;margarin;peynir;yulaf sutu;bogurtlen;ejder meyvesi;ayran;tuz;bezelye;hindi eti;kori;ispanak;lahana;sucuk;
nar;cilek;hazir meyve suyu;kimyon;nane;kajun;ispanak;salam;balik;tatli toz biber;;;;;
yulaf sutu;armut;mandalina;corek otu;visne;karpuz;pirinc;;;;;;;;
mango;serbet;karpuz;armut;hazir meyve suyu;ayran;bogurtlen;mandalina;tereyagi;kola-gazoz vb.;;;;;
tavuk eti;lahana;;;;;;;;;;;;;
siyah cay;bitki cayi;arpa;kajun;kivi;kekik;marul;;;;;;;;
armut;bugday;yogurt;seker;yesil mercimek;mango;tavuk eti;pirinc;sakatatlar;vanilya;kabak;bezelye;biber;ispanak;
sumak;kiraz;karpuz;roka;kuru fasulye;yumurta;yulaf sutu;margarin;hazir meyve suyu;yogurt;vanilya;sarimsak;yulaf;nar;tatli toz biber
kirmizi mercimek;patlican;serbet;mandalina;sakatatlar;mayali alkoller;sarimsak;bogurtlen;roka;;;;;;
kiyma;balik;sumak;aci pul biber;bezelye;roka;;;;;;;;;
tuz;yumurta;kirmizi mercimek;cavdar;kola-gazoz vb.;kabak;sarimsak;serbet;balik;ayran;visne;bogurtlen;;;
yesil mercimek;mango;yogurt;kekik;marul;cavdar;;;;;;;;;
armut;roka;kivi;tuz;yumurta;nane;arpa;mayasiz alkoller;kuru fasulye;;;;;;
vanilya;kabak;cavdar;taze meyve suyu;pirasa;;;;;;;;;;
bezelye;bogurtlen;kiraz;badem sutu;hazir meyve suyu;kiyma;kabak;margarin;avokado;;;;;;
tereyagi;yeni bahar;hazir meyve suyu;corek otu;kiraz;lahana;elma;sucuk;;;;;;;
soguk cay;ekmek;kuru fasulye;kahve;kiyma;tatli toz biber;mandalina;biberiye;mayali alkoller;lahana;;;;;
kabak;pirasa;balik;sogan;biberiye;zerdecal;boza;corek otu;;;;;;;
visne;kimyon;tuz;yulaf sutu;karpuz;kekik;kiyma;sosis;ananas;muz;yesil mercimek;sakatatlar;ispanak;ekmek;
kiyma;bogurtlen;cilek;zerdecal;;;;;;;;;;;
hayvansal sut;misir;ekmek;portakal;corek otu;nane;karpuz;siyah cay;hazir meyve suyu;visne;bulgur;sarimsak;;;
bezelye;vanilya;mayasiz alkoller;zerdecal;ananas;ekmek;kajun;mayali alkoller;nane;;;;;;
salatalik;zerdecal;ispanak;;;;;;;;;;;;
patlican;yumurta;nane;mango;ekmek;lahana;hayvansal sut;kimyon;mayali alkoller;;;;;;
hazir meyve suyu;ejder meyvesi;kori;hindi eti;yeni bahar;serbet;armut;tarcin;sosis;kiraz;kiyma;siyah cay;sakatatlar;;
zerdecal;tereyagi;serbet;avokado;;;;;;;;;;;
hazir meyve suyu;hayvansal sut;patlican;nane;aci pul biber;kajun;bugday;mandalina;domates;yeni bahar;kiraz;avokado;sosis;marul;
mango;badem sutu;balik;;;;;;;;;;;;
