bezelye;tavuk eti;maydanoz;mango;taze meyve suyu;bitki cayi;yeni bahar;tarcin;salam;hayvansal sut;vanilya;mayali alkoller;badem sutu;tereyagi;
salam;sosis;ekmek;margarin;kahve;tarcin;roka;corek otu;tatli toz biber;kivi;kajun;nar;mayasiz alkoller;yeni bahar;yumurta
bugday;maydanoz;aci toz biber;cavdar;tavuk eti;cilek;armut;tuz;kimyon;corek otu;kekik;hindi eti;mayali alkoller;;
yulaf sutu;pirinc;;;;;;;;;;;;;
bogurtlen;yumurta;cilek;nane;yesil mercimek;bitki cayi;domates;nar;;;;;;;
aci pul biber;mayasiz alkoller;biber;;;;;;;;;;;;
soguk cay;yogurt;yulaf sutu;kivi;tereyagi;;;;;;;;;;
corek otu;tuz;bakla;balik;bezelye;tarcin;soguk cay;maydanoz;biberiye;kola-gazoz vb.;roka;kiyma;;;
salatalik;domates;yumurta;tatli toz biber;armut;biber;;;;;;;;;
bakla;hindi eti;margarin;bulgur;elma;sosis;domates;corek otu;marul;ekmek;;;;;
peynir;ekmek;sumak;pirasa;lahana;portakal;kori;margarin;roka;maydanoz;kusbasi et;salatalik;;;
ejder meyvesi;bugday;tuz;tarcin;elma;hindi eti;aci pul biber;serbet;bogurtlen;kakule;sucuk;hazir meyve suyu;kabak;kirmizi mercimek;
sarimsak;arpa;sakatatlar;biberiye;yumurta;salatalik;nar;;;;;;;;
sarimsak;soguk cay;taze meyve suyu;kekik;mango;;;;;;;;;;
biberiye;biber;kuru fasulye;tuz;tatli toz biber;ispanak;bulgur;lahana;zerdecal;balik;kiraz;bakla;ananas;;
mango;;;;;;;;;;;;;;
maydanoz;kusbasi et;bulgur;corek otu;sogan;kajun;bitki cayi;cavdar;yulaf sutu;;;;;;
kirmizi mercimek;kabak;domates;karpuz;salatalik;muz;badem sutu;maydanoz;sosis;bezelye;ejder meyvesi;avokado;tarcin;yulaf;balik
kirmizi mercimek;balik;pirinc;;;;;;;;;;;;
kola-gazoz vb.;tuz;nane;hayvansal sut;misir;sosis;tavuk eti;kakule;yeni bahar;;;;;;
zerdecal;domates;;;;;;;;;;;;;
karpuz;lahana;hayvansal sut;sucuk;;;;;;;;;;;
serbet;ananas;patlican;cavdar;bulgur;hindi eti;;;;;;;;;
ananas;peynir;nar;bitki cayi;kusbasi et;tatli toz biber;zerdecal;kimyon;taze meyve suyu;;;;;;
ananas;serbet;ispanak;bakla;kusbasi et;kahve;boza;mango;tavuk eti;tarcin;visne;;;;
bitki cayi;soguk cay;ejder meyvesi;tereyagi;ekmek;taze meyve suyu;tarcin;kabak;pirinc;;;;;;
ispanak;yumurta;peynir;domates;;;;;;;;;;;
nar;biberiye;hindi eti;kekik;ananas;kuru fasulye;kahve;boza;kakule;sarimsak;sucuk;arpa;;;
hazir meyve suyu;yulaf sutu;siyah cay;;;;;;;;;;;;
seker;pirinc;salatalik;cilek;elma;tarcin;mango;kirmizi mercimek;ayran;aci pul biber;tatli toz biber;yeni bahar;;;
taze meyve suyu;portakal;ananas;ispanak;zerdecal;tavuk eti;visne;arpa;kusbasi et;yeni bahar;ejder meyvesi;corek otu;;;
aci toz biber;zerdecal;visne;ejder meyvesi;nohut;sakatatlar;kahve;nar;sosis;;;;;;
yulaf sutu;kiraz;ispanak;badem sutu;arpa;tavuk eti;kola-gazoz vb.;aci toz biber;ekmek;kiyma;yesil mercimek;maydanoz;bezelye;tuz;
soguk cay;hayvansal sut;bitki cayi;;;;;;;;;;;;
sarimsak;kori;hayvansal sut;nohut;misir;patlican;salatalik;bulgur;mayasiz alkoller;vanilya;sakatatlar;;;;
tereyagi;kivi;kabak;badem sutu;siyah cay;kahve;nohut;;;;;;;;
vanilya;sucuk;cavdar;ananas;sakatatlar;yulaf sutu;corek otu;kabak;salam;kuru fasulye;kakule;biber;biberiye;;
zerdecal;taze meyve suyu;;;;;;;;;;;;;
kahve;hazir meyve suyu;seker;sakatatlar;domates;vanilya;sarimsak;taze meyve suyu;nane;tarcin;;;;;
roka;margarin;domates;sumak;yeni bahar;tereyagi;kakule;tarcin;kimyon;kori;;;;;
yeni bahar;kola-gazoz vb.;sogan;sucuk;aci pul biber;;;;;;;;;;
pirasa;boza;kahve;sogan;kuru fasulye;vanilya;nane;yeni bahar;maydanoz;;;;;;
yumurta;sarimsak;;;;;;;;;;;;;
portakal;lahana;badem sutu;misir;hazir meyve suyu;nane;hayvansal sut;peynir;bezelye;kekik;aci toz biber;balik;;;
marul;lahana;portakal;kiraz;bakla;pirinc;;;;;;;;;
nar;pirasa;yumurta;hayvansal sut;corek otu;tavuk eti;bulgur;kabak;yulaf;bezelye;tuz;yogurt;mayasiz alkoller;sucuk;tatli toz biber
peynir;boza;lahana;kakule;bakla;hazir meyve suyu;kekik;yulaf sutu;;;;;;;
yesil mercimek;kajun;kimyon;hayvansal sut;aci pul biber;siyah cay;;;;;;;;;
ejder meyvesi;seker;hazir meyve suyu;boza;cilek;visne;;;;;;;;;
kekik;bugday;bakla;soguk cay;kori;sucuk;kiyma;;;;;;;;
balik;kahve;;;;;;;;;;;;;
siyah cay;kusbasi et;peynir;cilek;salatalik;badem sutu;patlican;nar;tavuk eti;bugday;kuru fasulye;seker;ananas;;
kabak;kahve;yulaf;tavuk eti;ayran;hayvansal sut;;;;;;;;;
salam;corek otu;ejder meyvesi;nane;aci pul biber;salatalik;seker;sarimsak;bezelye;ayran;sakatatlar;;;;
aci pul biber;ayran;tatli toz biber;ispanak;hindi eti;kusbasi et;arpa;kori;peynir;salam;;;;;
tereyagi;tatli toz biber;zerdecal;tuz;kivi;kirmizi mercimek;sogan;nar;vanilya;mayali alkoller;hindi eti;nane;hayvansal sut;;
salam;hazir meyve suyu;mayali alkoller;kori;seker;bakla;ekmek;elma;corek otu;kusbasi et;armut;karpuz;;;
kori;yeni bahar;portakal;kajun;hindi eti;lahana;cavdar;pirinc;kivi;vanilya;ispanak;;;;
kajun;arpa;serbet;sosis;tereyagi;sakatatlar;hazir meyve suyu;mango;;;;;;;
salam;sakatatlar;tereyagi;mayali alkoller;kiyma;;;;;;;;;;
tereyagi;sosis;ekmek;cilek;kiraz;kahve;tuz;kabak;badem sutu;vanilya;bakla;;;;
kiraz;kiyma;elma;yesil mercimek;pirasa;boza;soguk cay;bakla;serbet;taze meyve suyu;ekmek;cavdar;;;
salam;portakal;nar;kimyon;pirinc;bezelye;seker;hazir meyve suyu;tatli toz biber;;;;;;
corek otu;hazir meyve suyu;bugday;kahve;bulgur;kekik;ispanak;;;;;;;;
