salatalik;sosis;bogurtlen;yogurt;tarcin;ispanak;biberiye;tereyagi;roka;zerdecal;hayvansal sut;sogan;;;
patlican;sucuk;sogan;karpuz;kiyma;kivi;kimyon;biberiye;sosis;soguk cay;bezelye;mango;nar;roka;tavuk eti
taze meyve suyu;kiraz;aci pul biber;kirmizi mercimek;;;;;;;;;;;
ekmek;margarin;elma;taze meyve suyu;domates;;;;;;;;;;
pirinc;;;;;;;;;;;;;;
cilek;corek otu;siyah cay;tarcin;bogurtlen;karpuz;bugday;avokado;yulaf;muz;kiraz;mango;patlican;ananas;
portakal;tavuk eti;yulaf sutu;bakla;muz;mayasiz alkoller;kivi;elma;kiraz;;;;;;
nane;sarimsak;sumak;;;;;;;;;;;;
serbet;tavuk eti;hindi eti;patlican;balik;boza;cilek;vanilya;kahve;hazir meyve suyu;bitki cayi;maydanoz;hayvansal sut;nar;
visne;ekmek;boza;kirmizi mercimek;zerdecal;salatalik;kekik;;;;;;;;
biber;lahana;yesil mercimek;badem sutu;karpuz;patlican;hindi eti;sumak;balik;kirmizi mercimek;;;;;
bugday;bogurtlen;yulaf sutu;kirmizi mercimek;lahana;elma;misir;kakule;pirinc;;;;;;
hindi eti;misir;visne;ispanak;armut;;;;;;;;;;
sosis;vanilya;sumak;seker;kivi;serbet;hayvansal sut;corek otu;nar;;;;;;
sakatatlar;lahana;karpuz;tereyagi;arpa;aci pul biber;aci toz biber;sucuk;kirmizi mercimek;visne;seker;kivi;balik;;
zerdecal;ekmek;peynir;taze meyve suyu;nane;balik;aci pul biber;bezelye;misir;avokado;;;;;
visne;aci pul biber;hindi eti;serbet;aci toz biber;domates;nar;hazir meyve suyu;sakatatlar;tavuk eti;yulaf sutu;;;;
bitki cayi;tavuk eti;hayvansal sut;yulaf;;;;;;;;;;;
sogan;hazir meyve suyu;nar;seker;yesil mercimek;pirasa;bogurtlen;aci toz biber;nohut;pirinc;;;;;
kabak;margarin;kola-gazoz vb.;mayali alkoller;hayvansal sut;armut;marul;yumurta;bakla;;;;;;
roka;sarimsak;yeni bahar;salatalik;;;;;;;;;;;
tavuk eti;bezelye;salam;kirmizi mercimek;biber;nar;bakla;mayali alkoller;marul;ejder meyvesi;sumak;bogurtlen;ekmek;kakule;bugday
cilek;kirmizi mercimek;sakatatlar;elma;biber;kakule;margarin;ekmek;;;;;;;
aci toz biber;lahana;misir;salam;armut;zerdecal;soguk cay;mayasiz alkoller;;;;;;;
bulgur;sarimsak;kivi;yulaf sutu;pirasa;kimyon;domates;ispanak;siyah cay;;;;;;
zerdecal;domates;;;;;;;;;;;;;
kabak;ekmek;portakal;roka;mayasiz alkoller;ejder meyvesi;siyah cay;zerdecal;mayali alkoller;pirasa;yeni bahar;pirinc;lahana;kivi;
muz;mayasiz alkoller;ayran;cilek;;;;;;;;;;;
bogurtlen;bugday;nar;;;;;;;;;;;;
balik;kori;;;;;;;;;;;;;
ispanak;;;;;;;;;;;;;;
ejder meyvesi;kirmizi mercimek;;;;;;;;;;;;;
balik;pirinc;seker;mandalina;;;;;;;;;;;
yogurt;bogurtlen;kirmizi mercimek;kahve;yeni bahar;;;;;;;;;;
yeni bahar;;;;;;;;;;;;;;
kiyma;margarin;armut;bezelye;yeni bahar;sumak;biberiye;elma;yumurta;aci pul biber;;;;;
sarimsak;cilek;domates;biberiye;tarcin;mayali alkoller;kabak;bogurtlen;yogurt;kusbasi et;;;;;
salatalik;yogurt;kakule;ejder meyvesi;hindi eti;portakal;salam;;;;;;;;
mayali alkoller;muz;ispanak;yumurta;hazir meyve suyu;hindi eti;salam;bakla;roka;ananas;tuz;sosis;yesil mercimek;mandalina;
pirinc;kivi;kakule;boza;ananas;nar;nohut;ispanak;bogurtlen;;;;;;
kakule;portakal;kekik;ejder meyvesi;kusbasi et;bakla;mango;serbet;ayran;;;;;;
badem sutu;hindi eti;;;;;;;;;;;;;
mandalina;kori;kiyma;pirinc;nane;lahana;hindi eti;muz;;;;;;;
ispanak;tatli toz biber;yulaf;mango;siyah cay;tereyagi;kirmizi mercimek;boza;vanilya;biberiye;yesil mercimek;;;;
